data,mandante,estado_mandante,visitante,estado_visitante,gols_mandante,gols_visitante,temporada,rodada,resultado_mandante
2017-11-15 21:45:00,Corinthians-SP,SP,Fluminense-RJ,RJ,3,1,2017,35,V
2017-11-16 20:00:00,Chapecoense-SC,SC,Vitoria-BA,BA,2,1,2017,35,V
2017-11-16 20:00:00,Botafogo-RJ,RJ,Atletico-GO,GO,1,2,2017,35,D
2017-11-16 20:00:00,Palmeiras-SP,SP,Sport-PE,PE,5,1,2017,35,V
2017-11-16 21:00:00,Coritiba-PR,PR,Flamengo-RJ,RJ,1,0,2017,35,V
2017-11-16 21:00:00,Bahia-BA,BA,Santos-SP,SP,3,1,2017,35,V
2017-11-19 17:00:00,Flamengo-RJ,RJ,Corinthians-SP,SP,3,0,2017,36,V
2017-11-19 17:00:00,Sao Paulo-SP,SP,Botafogo-RJ,RJ,0,0,2017,36,E
2017-11-19 17:00:00,Vitoria-BA,BA,Cruzeiro-MG,MG,1,1,2017,36,E
2017-11-19 17:00:00,Atletico-GO,GO,Chapecoense-SC,SC,1,1,2017,36,E
2017-11-19 17:00:00,Sport-PE,PE,Bahia-BA,BA,1,0,2017,36,V
2017-11-19 19:00:00,Atletico-PR,PR,Vasco da Gama-RJ,RJ,3,1,2017,36,V
2017-11-19 19:00:00,Santos-SP,SP,Gremio-RS,RS,1,0,2017,36,V
2017-11-19 19:00:00,Atletico-MG,MG,Coritiba-PR,PR,3,0,2017,36,V
2017-11-20 17:00:00,Fluminense-RJ,RJ,Ponte Preta-SP,SP,2,0,2017,36,V
2017-11-20 20:00:00,Avai-SC,SC,Palmeiras-SP,SP,2,1,2017,36,V
2017-11-25 17:00:00,Fluminense-RJ,RJ,Sport-PE,PE,1,2,2017,37,D
2017-11-26 17:00:00,Gremio-RS,RS,Atletico-GO,GO,1,1,2017,37,E
2017-11-26 17:00:00,Avai-SC,SC,Atletico-PR,PR,1,0,2017,37,V
2017-11-26 17:00:00,Corinthians-SP,SP,Atletico-MG,MG,2,2,2017,37,E
2017-11-26 17:00:00,Cruzeiro-MG,MG,Vasco da Gama-RJ,RJ,0,1,2017,37,D
2017-11-26 17:00:00,Coritiba-PR,PR,Sao Paulo-SP,SP,1,2,2017,37,D
2017-11-26 17:00:00,Ponte Preta-SP,SP,Vitoria-BA,BA,2,3,2017,37,D
2017-11-26 19:00:00,Bahia-BA,BA,Chapecoense-SC,SC,0,1,2017,37,D
2017-11-26 19:00:00,Flamengo-RJ,RJ,Santos-SP,SP,1,2,2017,37,D
2017-11-27 20:00:00,Palmeiras-SP,SP,Botafogo-RJ,RJ,2,0,2017,37,V
2017-12-03 17:00:00,Botafogo-RJ,RJ,Cruzeiro-MG,MG,2,2,2017,38,E
2017-12-03 17:00:00,Vasco da Gama-RJ,RJ,Ponte Preta-SP,SP,2,1,2017,38,V
2017-12-03 17:00:00,Santos-SP,SP,Avai-SC,SC,1,1,2017,38,E
2017-12-03 17:00:00,Sao Paulo-SP,SP,Bahia-BA,BA,1,1,2017,38,E
2017-12-03 17:00:00,Atletico-MG,MG,Gremio-RS,RS,4,3,2017,38,V
2017-12-03 17:00:00,Atletico-PR,PR,Palmeiras-SP,SP,3,0,2017,38,V
2017-12-03 17:00:00,Sport-PE,PE,Corinthians-SP,SP,1,0,2017,38,V
2017-12-03 17:00:00,Vitoria-BA,BA,Flamengo-RJ,RJ,1,2,2017,38,D
2017-12-03 17:00:00,Atletico-GO,GO,Fluminense-RJ,RJ,1,1,2017,38,E
2017-12-03 17:00:00,Chapecoense-SC,SC,Coritiba-PR,PR,2,1,2017,38,V
2018-04-14 16:00:00,Cruzeiro-MG,MG,Gremio-RS,RS,0,1,2018,1,D
2018-04-14 19:00:00,Vitoria-BA,BA,Flamengo-RJ,RJ,2,2,2018,1,E
2018-04-14 21:00:00,Santos-SP,SP,Ceara-CE,CE,2,0,2018,1,V
